algorithm,seed,reference_productivity,reference_process_yield,HV
NSGA2,2,0.0,0.0,0.3572124577876334
NSGA2,2,0.05,0.02,0.3183450313449814
NSGA2,2,0.1,0.05,0.27138650577407836
NSGA2,2,0.2,0.1,0.19556055376052295
NSGA2,3,0.0,0.0,0.35722747574199115
NSGA2,3,0.05,0.02,0.31836250193528026
NSGA2,3,0.1,0.05,0.27140769144171756
NSGA2,3,0.2,0.1,0.19558790714144428
NSGA2,5,0.0,0.0,0.35702101272816655
NSGA2,5,0.05,0.02,0.3181745390249729
NSGA2,5,0.1,0.05,0.27124711859940753
NSGA2,5,0.2,0.1,0.19547322447064855
NSGA2,7,0.0,0.0,0.35715351316910393
NSGA2,7,0.05,0.02,0.31828802339415363
NSGA2,7,0.1,0.05,0.27133255908714443
NSGA2,7,0.2,0.1,0.19551160500518447
NSGA2,11,0.0,0.0,0.35720795514440745
NSGA2,11,0.05,0.02,0.318341012817826
NSGA2,11,0.1,0.05,0.2713824896515155
NSGA2,11,0.2,0.1,0.1955570241586233
NSGA2,13,0.0,0.0,0.3571919831818858
NSGA2,13,0.05,0.02,0.3183373808255318
NSGA2,13,0.1,0.05,0.27139153867065635
NSGA2,13,0.2,0.1,0.19559109415942727
NSGA2,17,0.0,0.0,0.35717743304691385
NSGA2,17,0.05,0.02,0.3183102324248042
NSGA2,17,0.1,0.05,0.27135249228843794
NSGA2,17,0.2,0.1,0.19552755152996168
NSGA2,19,0.0,0.0,0.3572026022754441
NSGA2,19,0.05,0.02,0.31833939906815456
NSGA2,19,0.1,0.05,0.271385170300952
NSGA2,19,0.2,0.1,0.19556773832646016
NSGA2,23,0.0,0.0,0.3569574636114743
NSGA2,23,0.05,0.02,0.3181158496272968
NSGA2,23,0.1,0.05,0.2711879366481959
NSGA2,23,0.2,0.1,0.19541840968491772
NSGA2,29,0.0,0.0,0.3571383103672753
NSGA2,29,0.05,0.02,0.31828545186993656
NSGA2,29,0.1,0.05,0.2713436682317175
NSGA2,29,0.2,0.1,0.1955490260961594
NSGA2,31,0.0,0.0,0.3571074977970952
NSGA2,31,0.05,0.02,0.3182531438383839
NSGA2,31,0.1,0.05,0.2713107339050802
NSGA2,31,0.2,0.1,0.19551397001306522
NSGA2,37,0.0,0.0,0.3571783552905158
NSGA2,37,0.05,0.02,0.3183130556536615
NSGA2,37,0.1,0.05,0.2713581357035705
NSGA2,37,0.2,0.1,0.19553791611662535
NSGA2,41,0.0,0.0,0.357200930036424
NSGA2,41,0.05,0.02,0.3183323463011776
NSGA2,41,0.1,0.05,0.27137216518847584
NSGA2,41,0.2,0.1,0.19554340034052825
NSGA2,43,0.0,0.0,0.35692680332637183
NSGA2,43,0.05,0.02,0.3180995422450397
NSGA2,43,0.1,0.05,0.27119977654853805
NSGA2,43,0.2,0.1,0.19547274977070428
NSGA2,47,0.0,0.0,0.3560416087514653
NSGA2,47,0.05,0.02,0.31731738914681673
NSGA2,47,0.1,0.05,0.27054444063546096
NSGA2,47,0.2,0.1,0.19504727251945678
NSGA2,53,0.0,0.0,0.3563704024985167
NSGA2,53,0.05,0.02,0.3176289043172204
NSGA2,53,0.1,0.05,0.27080514603665057
NSGA2,53,0.2,0.1,0.19523988957478403
NSGA2,59,0.0,0.0,0.35655220603130006
NSGA2,59,0.05,0.02,0.3177485582544899
NSGA2,59,0.1,0.05,0.2708856198402325
NSGA2,59,0.2,0.1,0.19521903364916524
NSGA2,61,0.0,0.0,0.3564662398877376
NSGA2,61,0.05,0.02,0.3176735651600422
NSGA2,61,0.1,0.05,0.2708275539193076
NSGA2,61,0.2,0.1,0.19518886795087753
NSGA2,67,0.0,0.0,0.3570414385633621
NSGA2,67,0.05,0.02,0.3182057738003787
NSGA2,67,0.1,0.05,0.27128335562172134
NSGA2,67,0.2,0.1,0.1955252726800803
NSGA2,71,0.0,0.0,0.35484621043418213
NSGA2,71,0.05,0.02,0.3162058283645407
NSGA2,71,0.1,0.05,0.2695882790777849
NSGA2,71,0.2,0.1,0.19433034772138758
NSGA2,73,0.0,0.0,0.3572574828735802
NSGA2,73,0.05,0.02,0.31838980489982854
NSGA2,73,0.1,0.05,0.2714309982036857
NSGA2,73,0.2,0.1,0.19560451353379096
NSGA2,79,0.0,0.0,0.3568992391762322
NSGA2,79,0.05,0.02,0.31806020723845657
NSGA2,79,0.1,0.05,0.27113976572227666
NSGA2,79,0.2,0.1,0.19538029226832124
NSGA2,83,0.0,0.0,0.35725165596158254
NSGA2,83,0.05,0.02,0.31838319905901186
NSGA2,83,0.1,0.05,0.2714232560748103
NSGA2,83,0.2,0.1,0.1955948561880377
NSGA2,89,0.0,0.0,0.3569006792058147
NSGA2,89,0.05,0.02,0.3180804135531457
NSGA2,89,0.1,0.05,0.27117791234220207
NSGA2,89,0.2,0.1,0.19545514547858925
NSGA2,97,0.0,0.0,0.35574423367969477
NSGA2,97,0.05,0.02,0.31702388527855146
NSGA2,97,0.1,0.05,0.2702813126435245
NSGA2,97,0.2,0.1,0.19481839160735384
NSGA2,101,0.0,0.0,0.35719638018960187
NSGA2,101,0.05,0.02,0.31832952017778016
NSGA2,101,0.1,0.05,0.2713718192836996
