reference_productivity,reference_process_yield,algorithm,runs,HV_mean,HV_std,HV_median,HV_q1,HV_q3,rank_by_mean_HV
0.0,0.0,FMINCON_100,30,0.35715276254527706,5.191906888736649e-07,0.35715291559302564,0.3571528693330219,0.3571529663450831,1.0
0.0,0.0,FMINCON_49,30,0.3561542284502536,5.833520779089835e-06,0.35615653825477267,0.3561563519541773,0.35615666286366876,3.0
0.0,0.0,MOEAD_AASF,30,0.351807264681718,0.003428327597753406,0.35311104626137124,0.35039729597339825,0.3542270928753086,5.0
0.0,0.0,MOEAD_ASF,30,0.35227507873853375,0.002881803102669009,0.35320769971069976,0.35079092715726823,0.3543413970213285,4.0
0.0,0.0,MOEAD_PBI,30,0.3483322469433237,0.003633324268293771,0.3488787159083956,0.34704027382089686,0.3508745541810646,8.0
0.0,0.0,MOEAD_TCH,30,0.34874149696351686,0.004939758459072688,0.349328139695321,0.3448374208643249,0.35289273497715035,7.0
0.0,0.0,MOEAD_WS,30,0.35036998071844944,0.0022304145970125835,0.35112021932068327,0.34974743180574625,0.35170457316144943,6.0
0.0,0.0,NSGA2,30,0.3568670646468809,0.0005518293106415091,0.35711010747429417,0.3568995991836278,0.35719528093767283,2.0
0.05,0.02,FMINCON_100,30,0.31828322135004455,4.4140742373644735e-07,0.31828335249839446,0.3182833062383024,0.3182834033190966,1.0
0.05,0.02,FMINCON_49,30,0.3172847626077342,5.734954882323226e-06,0.31728697516614623,0.3172867888596059,0.3172870997691187,3.0
0.05,0.02,MOEAD_AASF,30,0.3133526451362633,0.0031339529120137455,0.31445758404498925,0.31206842660920603,0.31559524076726975,5.0
0.05,0.02,MOEAD_ASF,30,0.31384278916704456,0.002623134132800831,0.314583522804643,0.3125161438279361,0.3157327360645162,4.0
0.05,0.02,MOEAD_PBI,30,0.31029127225173914,0.0032864976999056384,0.3107533776986925,0.3091875256556853,0.31257041315583745,8.0
0.05,0.02,MOEAD_TCH,30,0.31070193121474665,0.0044826028017266135,0.3112726088646659,0.3071712599477885,0.31447118012326364,7.0
0.05,0.02,MOEAD_WS,30,0.31153916730479164,0.0022152486972281536,0.31227623166064433,0.3109154081557297,0.3128654092864766,6.0
0.05,0.02,NSGA2,30,0.31803814492921917,0.0004953920000472346,0.3182514427131906,0.3180652588171289,0.31833163977032825,2.0
0.1,0.05,FMINCON_100,30,0.27132197899844024,3.659944810695118e-07,0.2713220882473151,0.27132204198713583,0.2713221391366629,1.0
0.1,0.05,FMINCON_49,30,0.27032359560876895,5.6588985417492e-06,0.2703257109210796,0.27032552460858694,0.27032583551812095,3.0
0.1,0.05,MOEAD_AASF,30,0.26694606121411446,0.0026859105713280974,0.2678051916117136,0.2658759658109395,0.268852741692055,5.0
0.1,0.05,MOEAD_ASF,30,0.2674597516667269,0.0022333615948996943,0.26803208142868007,0.26631549396972,0.26906831052583235,4.0
0.1,0.05,MOEAD_PBI,30,0.2643706681776763,0.002802471129356774,0.2647152311561996,0.2634674741076775,0.2663361753048542,8.0
0.1,0.05,MOEAD_TCH,30,0.26480737827558626,0.0038331286786175466,0.26535929006723,0.2617553129047779,0.2679866332455841,6.0
0.1,0.05,MOEAD_WS,30,0.26462941470932566,0.0021931610265972204,0.2653419949065804,0.2640038558593488,0.26593498246456365,7.0
0.1,0.05,NSGA2,30,0.27113209435839647,0.00041423812336762806,0.27130332800521356,0.271149302377258,0.27137207871228175,2.0
0.2,0.1,FMINCON_100,30,0.19549119545160334,2.3165610847880087e-07,0.19549126090160446,0.19549121464124974,0.19549131192824296,1.0
0.2,0.1,FMINCON_49,30,0.19449296276728434,5.577726260582226e-06,0.19449488358738667,0.1944946972629965,0.1944950081725727,3.0
0.2,0.1,MOEAD_AASF,30,0.1920848577465109,0.0019542014685883643,0.19267977706334027,0.19126041012032205,0.1934776882258279,5.0
0.2,0.1,MOEAD_ASF,30,0.19264442459492,0.0015920104220199453,0.19299848633610378,0.1917088042142254,0.19386514247979675,4.0
0.2,0.1,MOEAD_PBI,30,0.19040908941202883,0.0019767462067493474,0.19063220729103944,0.1897922091154539,0.19171619975098467,7.0
0.2,0.1,MOEAD_TCH,30,0.19087325958765555,0.0027326995964582247,0.191390440439139,0.18875094350014354,0.19307316929526366,6.0
0.2,0.1,MOEAD_WS,30,0.1888888487002018,0.0021595963790342317,0.18956057528661785,0.1882902666727167,0.1901566960277981,8.0
0.2,0.1,NSGA2,30,0.19539712406991197,0.0002779271095633526,0.19551278750912485,0.19538982162247037,0.19554858416656884,2.0
