algorithm,seed,HV,Spacing,n_non_dominated,time_seconds,n_function_evaluations,n_objective_function_calls,n_constraint_function_calls,n_equilibrium_solver_calls,n_successful_weight_solutions,n_fmincon_runs,IGD_plus,Epsilon
FMINCON_49,2,0.356156667569734,0.0164618703752157,49,384.3490656,10000,10000,10000,50312,49,49,0.000868091469537792,0.00512988397260161
FMINCON_49,3,0.356156771360982,0.0164613582490507,49,387.3837375,9822,9822,9822,49431,49,49,0.000866704081460569,0.00512845755306968
FMINCON_49,5,0.356156477225061,0.0164638072022175,49,390.0901571,10031,10031,10031,50466,49,49,0.000867714274246532,0.00525090755644808
FMINCON_49,7,0.35615669892045,0.0164623943294908,49,378.1566882,9956,9956,9956,50086,49,49,0.000868062722869156,0.0051246287241119
FMINCON_49,11,0.35613656997079,0.0167142511290396,49,378.633219,10125,10125,10125,50931,49,49,0.000991733727089901,0.00558258834990277
FMINCON_49,13,0.356147912478036,0.0165919802606341,48,438.0637192,10336,10336,10336,52008,49,49,0.000887018787553404,0.00513001822970793
FMINCON_49,17,0.356156715479421,0.0164633584246303,49,400.7412936,10805,10805,10805,54342,49,49,0.000867762717355419,0.00512916382446271
FMINCON_49,19,0.356156600973167,0.0164640581574853,49,387.5760518,9959,9959,9959,50099,49,49,0.000874131860105594,0.0052004144959763
FMINCON_49,23,0.356156494371504,0.0164630011461574,49,394.2141357,10173,10173,10173,51174,49,49,0.000865774875801553,0.00530888618885783
FMINCON_49,29,0.356156430575663,0.0164635776893855,49,412.1412351,10303,10303,10303,51825,49,49,0.0008677280164026,0.00529952097627773
FMINCON_49,31,0.35615777834863,0.0164586671432885,49,378.4314592,10226,10226,10226,51449,49,49,0.000895905147643641,0.00490773963506952
FMINCON_49,37,0.356156507738741,0.0164629239704066,49,383.9852425,10288,10288,10288,51759,49,49,0.000866708357372861,0.00530914237940505
FMINCON_49,41,0.356156675678249,0.0164615813628958,49,395.5429706,10238,10238,10238,51503,49,49,0.000865812171032369,0.0051269906451803
FMINCON_49,43,0.356156616976024,0.0164627246507817,49,372.8879439,9745,9745,9745,49035,49,49,0.000868534114199147,0.0052106743821736
FMINCON_49,47,0.356156710218059,0.0164623784120628,49,361.9446775,9875,9875,9875,49685,49,49,0.000868586198035466,0.00509302191995875
FMINCON_49,53,0.356156558774471,0.0164632307295944,49,358.0681636,9965,9965,9965,50137,49,49,0.000866989156853027,0.00541701743723377
FMINCON_49,59,0.356142621215239,0.0166608652701557,49,384.0458999,10356,10356,10356,52090,49,49,0.00102443205556835,0.00558313763823381
FMINCON_49,61,0.35615646021645,0.0164619230430263,49,381.5585632,10209,10209,10209,51354,49,49,0.000867210647749241,0.00512913247507207
FMINCON_49,67,0.356157028572087,0.016459803357583,49,376.3189081,10079,10079,10079,50720,49,49,0.000872394447014852,0.00460586248742728
FMINCON_49,71,0.356156127994368,0.0164654099972435,49,374.658079,10040,10040,10040,50523,49,49,0.000867345272205558,0.00556993222950469
FMINCON_49,73,0.356156517735074,0.016463047410907,49,365.4375274,10052,10052,10052,50565,49,49,0.000867585868625184,0.00521071697840014
FMINCON_49,79,0.356156325747015,0.0164648030617436,49,383.4269601,10232,10232,10232,51469,49,49,0.000867292284978969,0.00558002163426269
FMINCON_49,83,0.356156608143288,0.0164620674573211,49,359.8736813,9861,9861,9861,49613,49,49,0.00086631900394912,0.00520060825925173
FMINCON_49,89,0.356156641186076,0.0164618579477855,49,344.0876051,9821,9821,9821,49412,49,49,0.000866883901124905,0.00512898395749195
FMINCON_49,97,0.35614784214351,0.0165922058799139,48,407.6307939,11710,11710,11710,58887,48,49,0.000885370937464539,0.0052516304766943
