metric,reference,algorithm,statistic_U,p_value_raw,cliffs_delta,effect_magnitude,reference_median,algorithm_median,median_difference_reference_minus_algorithm,p_value_holm,reject_0_05
HV,NSGA2,MOEAD_TCH,897.0,4.0771648468253186e-11,0.9933333333333333,large,0.35711010747429417,0.349328139695321,0.0077819677789731645,2.11390155141351e-10,True
HV,NSGA2,MOEAD_PBI,900.0,3.019859359162157e-11,1.0,large,0.35711010747429417,0.3488787159083956,0.008231391565898583,2.11390155141351e-10,True
HV,NSGA2,MOEAD_WS,900.0,3.019859359162157e-11,1.0,large,0.35711010747429417,0.35112021932068327,0.0059898881536109005,2.11390155141351e-10,True
HV,NSGA2,MOEAD_ASF,894.0,5.494052450965186e-11,0.9866666666666667,large,0.35711010747429417,0.35320769971069976,0.0039024077635944066,2.11390155141351e-10,True
HV,NSGA2,MOEAD_AASF,896.0,4.504322112705282e-11,0.9911111111111112,large,0.35711010747429417,0.35311104626137124,0.0039990612129229275,2.11390155141351e-10,True
HV,NSGA2,FMINCON_49,785.0,7.599145368665679e-07,0.7444444444444445,large,0.35711010747429417,0.3561565382547725,0.0009535692195216661,1.5198290737331358e-06,True
HV,NSGA2,FMINCON_100,390.0,0.37903631077393585,-0.13333333333333333,negligible,0.35711010747429417,0.35715291559302553,-4.2808118731363365e-05,0.37903631077393585,False
Spacing,NSGA2,MOEAD_TCH,136.0,3.5708008787916228e-06,-0.6977777777777778,large,0.005004489073278372,0.007303777636346967,-0.0022992885630685952,3.5708008787916228e-06,True
Spacing,NSGA2,MOEAD_PBI,22.0,2.6098527879558533e-10,-0.9511111111111111,large,0.005004489073278372,0.009119899682815773,-0.004115410609537401,7.82955836386756e-10,True
Spacing,NSGA2,MOEAD_WS,0.0,3.019859359162157e-11,-1.0,large,0.005004489073278372,0.042570405890304475,-0.037565916817026104,2.11390155141351e-10,True
Spacing,NSGA2,MOEAD_ASF,6.0,5.494052450965186e-11,-0.9866666666666667,large,0.005004489073278372,0.012356648713447362,-0.0073521596401689895,2.1976209803860745e-10,True
Spacing,NSGA2,MOEAD_AASF,0.0,3.019859359162157e-11,-1.0,large,0.005004489073278372,0.0172756933640561,-0.012271204290777727,2.11390155141351e-10,True
Spacing,NSGA2,FMINCON_49,0.0,3.019859359162157e-11,-1.0,large,0.005004489073278372,0.01646310656325645,-0.011458617489978078,2.11390155141351e-10,True
Spacing,NSGA2,FMINCON_100,30.0,5.572653248454238e-10,-0.9333333333333333,large,0.005004489073278372,0.00814281035802725,-0.0031383212847488785,1.1145306496908475e-09,True
time_seconds,NSGA2,MOEAD_TCH,113.0,6.526139960801125e-07,-0.7488888888888889,large,214.1021366000059,227.68029439996462,-13.578157799958717,1.9578419882403375e-06,True
time_seconds,NSGA2,MOEAD_PBI,34.0,8.101362326146452e-10,-0.9244444444444444,large,214.1021366000059,235.65851444998407,-21.556377849978162,4.050681163073226e-09,True
time_seconds,NSGA2,MOEAD_WS,170.0,3.592342311269681e-05,-0.6222222222222222,large,214.1021366000059,223.2039707999793,-9.101834199973382,7.184684622539362e-05,True
time_seconds,NSGA2,MOEAD_ASF,62.0,1.0104532753263791e-08,-0.8622222222222222,large,214.1021366000059,228.03089654998624,-13.928759949980332,4.0418131013055164e-08,True
time_seconds,NSGA2,MOEAD_AASF,340.0,0.10546994652177778,-0.24444444444444444,small,214.1021366000059,215.78540045002592,-1.6832638500200119,0.10546994652177778,False
time_seconds,NSGA2,FMINCON_49,0.0,3.019859359162157e-11,-1.0,large,214.1021366000059,379.0769779,-164.97484129999407,2.11390155141351e-10,True
time_seconds,NSGA2,FMINCON_100,0.0,3.019859359162157e-11,-1.0,large,214.1021366000059,784.2209867500001,-570.1188501499942,2.11390155141351e-10,True
